Situacao;Codigo favorecido;Favorecido;Descricao da fonte de recursos;Objeto;Valor inicial do instrumento;Valor do acrescimo ou reducao;Valor atualizado do instrumento;Valor pago;Descricao do orgao executor;Descricao da unidade orcamentaria executora;Descricao de programa;Descricao da modalidade de aplicacao;Descricao da natureza da despesa
ATIVO;1,30E+13;T&S LOCACAO DE MAO DE OBRA EM GERAL EIRELI;ORDINARIOS NAO VINCULADOS;PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL ÀS ATIVIDADES DOS DIVERSOS#RGÃOS/ENTIDADES DA PREFEITURA DA CIDADE DO RIO DE JANEIRO - PCRJ/SMAC (COPEIRO);37777.56;0;37777.56;0;SECRETARIA MUNICIPAL DE MEIO AMBIENTE DA CIDADE;SUBSECRETARIA DE MEIO AMBIENTE;RIO NO CONTROLE AMBIENTAL;APLICACOES DIRETAS;SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL
ATIVO;7,25E+12;PARIS CAR 551 COMERCIO E SERVICOS AUTOMOTORES LTDA;OUTRAS - EXERCICIOS ANTERIORES;TRANSFERÊNCIA DA DESPESA DA SECONSERMA PARA O FCA - CONTRATO Nº 2016/16;1121134.37;0;1121134.37;495831.22;FUNDO DE CONSERVAÇÃO AMBIENTAL;FUNDO DE CONSERVAÇÃO AMBIENTAL;RIO + VERDE;APLICACOES DIRETAS;LOCACAO DE VEICULOS DE REPRESENTACAO E OPERACIONAL
ATIVO;5,42E+12;PROGEN PROJETOS GERAIS E ENGENHARIA LTDA;MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO;OBRAS DE DRENAGEM NAS RUAS SANTO SEPULCRO. BÓRNEO E MIGUEL RANGEL -  CASCADURA - R.A. XV - A.P 3.3.;2249994.7;0;2249994.7;340948.36;FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO;FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO;CONTROLE DE ENCHENTES;APLICACOES DIRETAS;EXECUCAO DAS OBRAS E PROJETOS
ATIVO;4,21E+13;FERLIM SERVICOS TECNICOS LTDA.;ORDINARIOS NAO VINCULADOS - RECEITAS DE IMPOSTOS E DE TRANSFERENCIA DE IMPOSTOS - SAUDE;SERVIÇO LAVAGEM DE ROUPAS PARA O IMNS;432600;0;432600;56534.9;INSTITUTO MUNICIPAL DE ASSISTÊNCIA À SAÚDE NISE DA SILVEIRA;INSTITUTO MUNICIPAL DE ASSISTÊNCIA À SAÚDE NISE DA SILVEIRA;ATENCAO PSICOSSOCIAL;APLICACOES DIRETAS;SERV.LAVAG..HIG..DESINF..COLETA.GUARDA E DIST DE ROUPAS HOSP.E SERV.COMPL.PREST.PES.JURID.
ATIVO;1,83E+13;NOVA BIOMEDICAL DIAGNOSTICOS MEDICOS E BIOTECNOLOGIA LTDA.;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;PRESTAÇÃO DE SERVIÇOS DE CESSÃO DE USO DE EQUIPAMENTO COM SERVIÇO DE ASSISTENCIA TECNICA. ASSESSORIA CIENTIFICA E INSTALAÇÃO. COM FORNECIMENTO DE MATERIAS DE CONSUMO LABORATORIAIS.;20920;0;20920;9414;HOSPITAL MATERNIDADE HERCULANO PINHEIRO;HOSPITAL MATERNIDADE HERCULANO PINHEIRO;ATENCAO HOSPITALAR;APLICACOES DIRETAS;MATERIAIS E PRODUTOS BIOLOGICOS E LABORATORIAIS
ATIVO;1,02E+12;NUTRIENTE PRODUTOS E SERVICOS FARMACEUTICOS LTDA;ORDINARIOS NAO VINCULADOS - RECEITAS DE IMPOSTOS E DE TRANSFERENCIA DE IMPOSTOS - SAUDE;TRANSFERENCIA DA SMS - NIVEL CENTRAL PARA O HMHP. REF. A PRESTAÇÃO DE SERVIÇOS DE MANIPULAÇÃO DE MISTURAS NUTRITIVAS PARENTERAIS.;402000;0;402000;21443.3;HOSPITAL MATERNIDADE HERCULANO PINHEIRO;HOSPITAL MATERNIDADE HERCULANO PINHEIRO;ATENCAO HOSPITALAR;APLICACOES DIRETAS;FORNECIMENTO DE ALIMENTACAO
ATIVO;4,13E+12;IRMAOS HADDAD CONSTRUTORA EIRELI;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;MANUTENÇÃO PREVENTIVA E CORRETIVA PREDIAL E DE EQUIPAMENTOS NO HMHP.;1572091.15;0;1572091.15;212587.44;HOSPITAL MATERNIDADE HERCULANO PINHEIRO;HOSPITAL MATERNIDADE HERCULANO PINHEIRO;ATENCAO HOSPITALAR;APLICACOES DIRETAS;SERVICOS DE MANUTENCAO E CONSERVACAO PREDIAL HOSPITALAR
ATIVO;3,32E+11;AIR LIQUIDE BRASIL LTDA;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE GASES MEDICINAIS. ENGLOBANDO INSTALAÇÃO E MANUTENÇÃO DE CILINDROS E TANQUES;437232.96;0;437232.96;0;HOSPITAL MUNICIPAL FRANCISCO DA SILVA TELLES;HOSPITAL MUNICIPAL FRANCISCO DA SILVA TELLES;ATENCAO HOSPITALAR;APLICACOES DIRETAS;MATERIAIS E PRODUTOS QUIMICOS
ATIVO;1,83E+13;BIOHOSP PRODUTOS HOSPITALARES LTDA;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;CESSÃO DE USO DE EQUIPAMENTOS COM ASSISTÊNCA TÉCNICA E ASSESSORIA CIÊNCTIFICA COM FORNECIMENTO DE INDICADORES BIOLÓGICOS PARA USO EM CENTRAL PARA ATENDER AO HMLJ/MLD;583500;0;583500;0;HOSPITAL MUNICIPAL LOURENÇO JORGE;HOSPITAL MUNICIPAL LOURENÇO JORGE - COORDENADORIA GERAL DE EMERGÊNCIA DA AP 4;ATENCAO HOSPITALAR;APLICACOES DIRETAS;MATERIAIS PARA USO MEDICINAL. CIRURGICO E ODONTOLOGICO
ATIVO;8,74E+13;PRO RAD CONSULTORES EM RADIOPROTECAO S.S. LTDA;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;TRASFERÊNCIA DE DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE DOSIMETRIA;5474.28;0;5474.28;0;HOSPITAL MUNICIPAL LOURENÇO JORGE;HOSPITAL MUNICIPAL LOURENÇO JORGE - COORDENADORIA GERAL DE EMERGÊNCIA DA AP 4;ATENCAO HOSPITALAR;APLICACOES DIRETAS;SERVICOS DE ASSISTENCIA MEDICA. HOSPITALAR E ODONTOLOGICA
ATIVO;2,68E+12;CENTRO INTEGRADO DE ESTUDOS E PROGRAMAS DE DESENVOLVIMENTO SUSTENTAVEL;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;TERMO DE COLABORAÇÃO PARA ASSISTÊNCIA DO IMASJM;4510375.04;0;4510375.04;991410;INSTITUTO MUNICIPAL DE ASSISTÊNCIA À SAÚDE JULIANO MOREIRA;INSTITUTO MUNICIPAL DE ASSISTÊNCIA À SAÚDE JULIANO MOREIRA;ATENCAO PSICOSSOCIAL;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A SAUDE. PRESTADOS POR OSC
ATIVO;4,21E+13;FERLIM SERVICOS TECNICOS LTDA.;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;PRESTAÇÃO DE SERVIÇO DE LAVAGEM DE ROUPAS HOSPITALARES;339900;0;339900;26138.31;HOSPITAL MUNICIPAL NOSSA SENHORA DO LORETO;HOSPITAL MUNICIPAL NOSSA SENHORA DO LORETO;GOVERNANCA HOSPITALAR E URGENCIA E EMERGENCIA;APLICACOES DIRETAS;SERV.LAVAG..HIG..DESINF..COLETA.GUARDA E DIST DE ROUPAS HOSP.E SERV.COMPL.PREST.PES.JURID.
ATIVO;1,30E+13;T&S LOCACAO DE MAO DE OBRA EM GERAL EIRELI;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;TRANSFERÊNCIA DE DESPESA DA SECRETARIA MUNICIPAL DE SAÚDE - NÍVEL CENTRALPARA O HOSPITAL MUNICIPAL BARATA RIBEIRO. REFERENTE A PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL AS ATIVIDADES PARA SMS. CONFORME ESPECIFICAÇÕES CONSTANTES NO TERMO DE REFERÊNCIA.;233583;0;233583;86750.13;HOSPITAL MUNICIPAL BARATA RIBEIRO;HOSPITAL MUNICIPAL BARATA RIBEIRO;ATENCAO HOSPITALAR;APLICACOES DIRETAS;SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL
ATIVO;3,32E+11;AIR LIQUIDE BRASIL LTDA;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;TRASNFERÊNCIA DE DESPESA DO HOSPITAL MUNICIPAL PAULINO WERNECK PARA O HOSPITAL MUNICIPAL BARATA RIBEIRO. REFERENTE A PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE GASES MEDICINAIS;7000;0;7000;4290.15;HOSPITAL MUNICIPAL BARATA RIBEIRO;HOSPITAL MUNICIPAL BARATA RIBEIRO;ATENCAO HOSPITALAR;APLICACOES DIRETAS;MATERIAIS E PRODUTOS QUIMICOS
ATIVO;4,25E+13;COMISSARIA AEREA RIO DE JANEIRO LTDA.;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO;3047673;0;3047673;0;HOSPITAL MUNICIPAL ÁLVARO RAMOS;HOSPITAL MUNICIPAL ÁLVARO RAMOS;ATENCAO HOSPITALAR;APLICACOES DIRETAS;FORNECIMENTO DE ALIMENTACAO
ATIVO;3,14E+13;CRECHE COMUNITARIA JARDIM SANTA CRUZ;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERÊNCIA DE RECURSOS DO PNAE/FNDE/MEC;29318;0;29318;29318;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;3,41E+13;SOCIEDADE DE ENSINO SUPERIOR  ESTACIO DE SA LTDA;;CONCEDER VAGAS PARA ESTÁGIO NÃO OBRIGATÓRIO EM UNIDADES ESCOLARES DA REDE ZBLICA MUNICIPAL DE ENSINO A ALUNOS DA INSTITUIÇÃO DE ENSINO REGULARMENTE MATRICULADOS NOS CURSOS DE LICENCIATURA EM LETRAS. EDUCAÇÃO FÍSICA. CIÊNCIAS BIOLÓGICAS. PEDAGOGIA. HISTÓRIA. GEOGRAFIA. MATEMÁTICA. TEATRO/ARTES CÊNICAS VISANDO SUA PREPARAÇÃO PARA O TRABALHO PRODUTIVO E A FORMAÇÃO INTEGRAL DO EDUCANDO.;0;0;0;0;SECRETARIA MUNICIPAL DE EDUCAÇÃO;;;;
ATIVO;6,87E+13;ASSOCIACAO DE CULTURA E EDUCACAO SANTA TERESA;;CONCEDER VAGAS PARA ESTÁGIO NÃO OBRIGATÓRIO EM UNIDADES ESCOLARES DA REDE ZBLICA MUNICIPAL DE ENSINO A ALUNOS DA INSTITUIÇÃO DE ENSINO REGULARMENTE MATRICULADOS NOS CURSOS DE LICENCIATURA EM MATEMÁTICA. EDUCAÇÃO FÍSICA. PEDAGOGIA E LETRAS. VISANDO SUA PREPARAÇÃO PARA O TRABALHO PRODUTIVO E A FORMAÇÃO INTEGRAL DO EDUCANDO.;0;0;0;0;SECRETARIA MUNICIPAL DE EDUCAÇÃO;;;;
ATIVO;9,81E+11;CRECHE ESCOLA COMUNITARIA SITIO ALEGRE;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;O CONVÊNIO TEM POR OBJETO A TRANSFERÊNCIA DOS RECURSOS FINANCEIROS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR PNAE/FNDE/MEC. RECEBIDOS PELO MUNICÍPIO DO RIO DE JANEIRO EM FAVOR  DA CONVENENTE E DESTINADOS. EXCLUSIVAMENTE. À AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA SUPRIR PARCIALMENTE AS NECESSIDADES NUTRICIONAIS DE ALUNOS MATRICULADOS NA INSTITUIÇÃO CONVENENTE;34026;0;34026;34026;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;6,93E+12;CRECHE ESCOLA COMUNITARIA MAE SOCIAL;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERÊNCIA DE RECURSOS DO PNAE/FNDE/MEC;17976;0;17976;17976;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;7,40E+13;ASSOCIACAO PALOTINA;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERÊNCIA DE RECURSOS DO PNAE/FNDE/MEC.;14980;0;14980;14980;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;7,33E+13;CRECHE CASULO AGOSTINHO;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERENCIA DE RECURSOS DO PNAE/FNDE/MEC.;11984;0;11984;11984;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;6,88E+13;CRECHE COMUNITARIA MUNDO ENCANTADO DA CRIANCA;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERENCIA DE RECURSOS DO PNAE/FNDE/MEC.;13910;0;13910;13910;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;7,33E+13;CRECHE CASULO AGOSTINHO;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERENCIA DE RECURSOS DO PNAE/FNDE/MEC;34240;0;34240;34240;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;5,50E+11;ASSOCIACAO BENEFICENTE NOSSA SENHORA DAS MERCES;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;O CONVÊNIO TEM POR OBJETO A TRANSFERÊNCIA DOS RECURSOS FINANCEIROS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR PNAE/FNDE/MEC. RECEBIDOS PELO MUNICÍPIO DO RIO DE JANEIRO EM FAVOR DA CONVENENTE E DESTINADOS. EXCLUSIVAMENTE. À AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA SUPRIR PARCIALMENTE AS NECESSIDADES NUTRICIONAIS DE ALUNOS MATRICULADOS NA INSTITUIÇÃO CONVENENTE. DE ACORDO COM O CONSTANTE NO TERMO DE REFERÊNCIA E NO PLANO DE TRABALHO.;23540;0;23540;23540;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;3,95E+12;CRECHE PINGUINHO DE GENTE;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERENCIA DE RECURSOS DO PNAE/FNDE/MEC;20758;0;20758;20758;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;1,59E+12;CONSTRUTORA OCP LTDA;OPERACOES DE CREDITO CONTRATUAIS REALIZADAS - EXERCICIOS ANTERIORES;OBRAS DE RECUPERAÇÃO DA ESCOLA MUNICIPAL GANDHI;746958.58;0;746958.58;52880.31;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;MODERNIZACAO DA GESTAO E MELHORIA DA INFRAESTRUTURA NA EDUCACAO;APLICACOES DIRETAS;AMPLIACAO. RECONSTRUCAO E REFORMAS
SUSPENSO;4,68E+12;VIX CONSTRUTORA EIRELI;ORDINARIOS NAO VINCULADOS;OBRAS DE REFORMA NO AUDITÓRIO DA ESCOLA MUNICIPAL PARÁ;489948.79;0;489948.79;105925.72;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;MODERNIZACAO DA GESTAO E MELHORIA DA INFRAESTRUTURA NA EDUCACAO;APLICACOES DIRETAS;AMPLIACAO. RECONSTRUCAO E REFORMAS
ATIVO;2,88E+13;WL CONSTRUCOES E PROJETOS LTDA;ORDINARIOS NAO VINCULADOS;OBRAS DE RECUPERAÇÃO DAS INSTALAÇÕES ELETRICAS VISANDO A CLIMATIZAÇÃO DO CIEP MESTRE ANDRE- EDI FREI ORLANDO - C.M. SILVEIRINHA - E.M ROBERTO SIMOSEN E CIEP GILBERTO FREIRE;620256.85;0;620256.85;124061.02;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;MODERNIZACAO DA GESTAO E MELHORIA DA INFRAESTRUTURA NA EDUCACAO;APLICACOES DIRETAS;AMPLIACAO. RECONSTRUCAO E REFORMAS
SUSPENSO;1,26E+13;LYON CONSTRUTORA LTDA;ORDINARIOS NAO VINCULADOS;OBRAS DE RECUPERAÇÃO DA ESCOLA MUNICIPAL GEORGE PFISTERER;1000701.73;0;1000701.73;314066.35;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;MODERNIZACAO DA GESTAO E MELHORIA DA INFRAESTRUTURA NA EDUCACAO;APLICACOES DIRETAS;AMPLIACAO. RECONSTRUCAO E REFORMAS
ATIVO;4,56E+12;DAS LIMA PRODUCAO E PROMOCOES DE EVENTOS LTDA ME;INCENTIVO A CULTURA;LEI DE INCENTIVO A CULTURA 5553/2013 - APOIO AO PROJETO CULTURAL HELIO OITICICA - LEVANDO ARTE AS PRAÇAS E JARDINS DO RIO - WEC16/01/2016 - CI DOR CONSULTORIA EM CORRETAGEM DE SEGUROS E BENEFICIOS LTDA;91831;0;91831;91831;SECRETARIA MUNICIPAL DE CULTURA;GABINETE DA SECRETARIA MUNICIPAL DE CULTURA;PROGRAMA INTEGRADO DE FOMENTO A CULTURA;APLICACOES DIRETAS;APOIO A PROJETOS CULTURAIS - LEI 5.553/2013
ATIVO;5,99E+12;PROGRAMA SOCIAL CRESCER E VIVER;INCENTIVO A CULTURA;LEI DE INCENTIVO A CULTURA 5553/2013 - APOIO AO PROJETO CULTURAL ESCOLA DE CIRCO CRESCER E VIVER - MANUTENCAO 2019/2020 - WOC55/01/2018 - C.I. ESHO EMPRESA DE SERVICOS HOSPITALARES SA;264736.38;0;264736.38;264736.38;SECRETARIA MUNICIPAL DE CULTURA;GABINETE DA SECRETARIA MUNICIPAL DE CULTURA;PROGRAMA INTEGRADO DE FOMENTO A CULTURA;APLICACOES DIRETAS;APOIO A PROJETOS CULTURAIS - LEI 5.553/2013
