DESC_ORGAO;DESC_RUBRICA;RECEITA_PREVISTA;RECEITA_ARRECADADA;RECEITA_ARRECADADA_JAN;RECEITA_ARRECADADA_FEV;RECEITA_ARRECADADA_MAR;RECEITA_ARRECADADA_ABR;RECEITA_ARRECADADA_MAI;RECEITA_ARRECADADA_JUN;RECEITA_ARRECADADA_JUL;RECEITA_ARRECADADA_AGO;RECEITA_ARRECADADA_SET;RECEITA_ARRECADADA_OUT
Prefeitura                                                                                                                                                                                                                                                ;MULTAS E JUROS DE MORA - IMPOSTO TERRITORIAL URBANO;1732880;856729.36;65779.61;89356.97;78932.31;130524.38;86515.7;50292.31;69358.79;84893.46;81253.01;119822.82
Prefeitura                                                                                                                                                                                                                                                ;IPTU - DIVIDA ATIVA - MULTAS E JUROS;131692177;159939302.1;10654292.86;50420713.29;9948002.58;9471205.78;11591161.16;10472053.75;10353861.15;12275808.01;13214996.96;21537206.59
Prefeitura                                                                                                                                                                                                                                                ;MULTAS E JUROS DE MORA DO ITBI;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE FISCALIZACAO DE APARELHOS DE TRANSPORTE;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;MULTAS E JUROS DE MORA - TAXA DE LICENC. E FISCAL. DE OBRAS REAL. EM LOGRAD. PUBLICOS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE TAXAS DE INSPECAO. CONTROLE E FISCALIZACAO;-39049;-62477.74;0;0;0;-6257.69;-19300.09;-3932.71;-6721.45;-4501.62;-15815.1;0
Prefeitura                                                                                                                                                                                                                                                ;ALUGUEIS E ARRENDAMENTOS - ADMINISTRACAO DIRETA - MULTAS E JUROS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;OUTORGA PRECO PUBLICO MOBILIDADE URBANA - DEC. 46.181/2019;0;20289.71;0;0;0;0;0;0;0;0;0;20289.71
Prefeitura                                                                                                                                                                                                                                                ;REMUNERACAO PROVISORIA DE OCUPACAO - F/SPA;10060000;13535750.45;1380550.85;1209132.5;981861.12;1198294.45;1188766.52;1132422.7;2446114.6;1496998.9;1147397.63;1354211.18
Prefeitura                                                                                                                                                                                                                                                ;MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO;5102708;1284631.37;237385.27;238353.94;232207.65;218140.45;174864.05;20451.26;36492.81;55227.24;29045.02;42463.68
Prefeitura                                                                                                                                                                                                                                                ;OPERACOES DE CREDITO CONTRATUAIS REALIZADAS - ADMINISTRACAO DIRETA;0;6833852.45;1033494.06;797449.99;696751.98;684313.53;475871.47;381371.47;621556.18;823930.58;693066.75;626046.44
Prefeitura                                                                                                                                                                                                                                                ;ISS - INCENTIVOS FISCAIS - PROJETOS CULTURAIS;51728424;48489413.25;229087.91;18153008.61;14237520.39;8786148.89;4186149.09;1204309.14;888844.91;434914.85;223513.15;145916.31
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE LICENC. E FISCAL. DE OBRAS REAL. EM LOGRAD. PUBLICOS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE OBRAS EM AREAS PARTICULARES;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE APROVACAO DO PROJETO DE CONSTRUCAO CIVIL;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE OBRAS EM AREAS PARTICULARES;19264924;11173330.88;1149663.31;1051372.18;531954.79;733189.45;1023798.85;672111.12;1206698.27;939252.5;1041740.19;2823550.22
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS TAXAS - MULTAS E JUROS DE MORA;1028652;654647.04;73292.24;55109.68;69751.47;67603.12;62694.11;58538.12;90241.37;63082.96;55392.76;58941.21
Prefeitura                                                                                                                                                                                                                                                ;ALUGUEIS RECEBIDOS - HERANCAS JACENTES;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;FOROS. REMISSAO DE FOROS. LAUDEMIOS E TARIFAS DE OCUPACAO - MULTAS E JUROS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;DOACOES - FMI;240993;219319.47;23414.55;21390.17;20371.02;22632.6;23751.9;20516.34;24666.34;21776.34;20104.17;20696.04
Prefeitura                                                                                                                                                                                                                                                ;FUNDEB;10305492;10198143.74;834604.83;1188734.26;1477063.57;1376010.58;1327079.15;1020470.98;955793.45;699073.96;662090.97;657221.99
Prefeitura                                                                                                                                                                                                                                                ;SERVICOS DE VENDA DE TIQUETE DE ESTACIONAMENTO - SMTR;4391176;3677340;406400;361820;271200;332800;371200;339200;387200;391520;348800;467200
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE INSPECAO SANITARIA;48428158;31424005.01;464853.75;98511.48;133171.43;19708058.95;4927950.09;1050363.07;1130251.26;908748.76;819194.34;2182901.88
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE TAXA DE INSPECAO SANITARIA;-8324;-15099.37;0;0;0;-3941.89;-2813.88;-1091.64;-512;-2208.54;-1561.9;-2969.52
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE LICENCA PARA ESTABELECIMENTO;36095063;31761574.7;2940508.72;2724381.77;2491663.24;2704800.57;3078939.83;2869486.69;3647285.55;3535593.8;3354910.93;4414003.6
Prefeitura                                                                                                                                                                                                                                                ;ARRENDAMENTO HABITACIONAL POPULAR - FMH;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS - FCA;585124;307473.36;15899.34;17340.58;26760.37;33882.86;39526.45;31979.36;40556.69;36404.65;32621.02;32502.04
Prefeitura                                                                                                                                                                                                                                                ;PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSF. DO GOV. FED. PARA A EDUCACAO;0;18.79;0.07;0.07;0.06;0.08;0.07;0.06;0.07;5.52;6.28;6.51
Prefeitura                                                                                                                                                                                                                                                ;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;788409;425207.03;1427.51;877.8;830.82;923.05;54162.1;98061.31;103397.49;62933.64;55655.15;46938.16
Prefeitura                                                                                                                                                                                                                                                ;TRANSF. DO FUNDO NAC. E EST. DE ASSISTENCIA SOCIAL;614184;715607.86;88909.88;75819.46;74072.14;78017.79;79554.67;68779.11;91601.69;66308.81;50443.9;42100.41
Prefeitura                                                                                                                                                                                                                                                ;SERVICOS DE FOTOCOPIAS E/OU COPIAS HELIOGRAFICAS - F/SPA;2929;3973.15;469.5;357.3;583.2;311.1;21.9;389.4;534.6;482.1;106.5;717.55
Prefeitura                                                                                                                                                                                                                                                ;VENDA DE INGRESSOS - ADMINISTRACAO DIRETA - DREM;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;INSCRICAO EM CONCURSOS - FOE;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;IRRF - FOLHA DE PAGAMENTO - PODER LEGISLATIVO;119623927;79383927.22;38.37;8569787.39;8931895.65;8840708.16;8968733.99;8742431.74;8909633.09;8684834.68;14753336.18;2982527.97
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE IMPOSTO PREDIAL;-5998172;-11401099.56;-380664.76;-508989.22;-748227.25;-419969.75;-1485728.49;-510276.44;-3210505.69;-1013572.8;-1137380.6;-1326568.48
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE IMPOSTO SOBRE TRANSMISSAO INTER-VIVOS DE BENS IMOVEIS;-7493650;-3943875.04;0;-621693.82;-277230.53;-138089.49;-206953.79;-528047.98;-623119.31;-324692.92;-467315.37;-540953.44
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - PRINCIPAL;-5042043;-3869827.73;-119291.46;-404462.26;-194012.02;-23712.45;-587232.87;-608522.39;-547283.68;-67635.39;-419961.93;-388600.04
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE LICENCA PARA ESTABELECIMENTO;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXAS REFERENTES AO IMOVEL - DAM (TIP.TCLLP.TSD) - DIVIDA ATIVA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS TAXAS - DIVIDA ATIVA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TIP. TCLLP. TSD - DIVIDA ATIVA - MULTAS E JUROS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE COLETA DOMICILIAR DO LIXO - MULTAS E JUROS DE MORA;4218584;3213404.31;182993.55;246902.44;247802.96;380987.19;367531.54;275289.48;460063.98;318060.57;342549.74;391222.86
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE INSPECAO SANITARIA - FMS - MULTAS E JUROS;1726532;314300.8;0;28644.66;28032.65;30802.48;28105.6;38745.76;73091.16;39222.16;35783.38;11872.95
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE FISCALIZACAO DE CEMITERIOS;760448;642786.48;58656.11;65364.74;56431.88;58363.08;60804.68;70500.04;68639.01;71078.61;68367.79;64580.54
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE IMPOSTO TERRITORIAL URBANO;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXAS DE SERVICOS CADASTRAIS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXAS REFERENTES AO IMOVEL - DAM (TIP.TCLLP.TSD) - DIVIDA ATIVA;26032248;20256487.98;1970124.79;2164720.54;1590216.84;1653484.89;1855584.93;1451739.16;1746129.17;2145060.47;2181973.53;3497453.66
Prefeitura                                                                                                                                                                                                                                                ;TIP. TCLLP. TSD - DIVIDA ATIVA - MULTAS E JUROS;12410155;13644812.66;1217253.7;1406743.44;1146883.23;1162160.9;1314528.32;1083240.2;1314735.23;1372858.63;1396058.31;2230350.7
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE LICENCIAMENTO DE PROJETOS SOCIAIS DECRETO 44801/2018 SMH;0;3251419.63;324523.32;397077.64;390245.66;233602.61;345689.22;129695.69;518325.01;345098.6;324809.81;242352.07
Prefeitura                                                                                                                                                                                                                                                ;ARRENDAMENTOS - ADMINISTRACAO DIRETA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;SALARIO EDUCACAO;3674034;1664563.95;194641.8;331088.25;369876.19;297229.7;189477.17;65195.25;31111.55;39192.53;68109.85;78641.66
Prefeitura                                                                                                                                                                                                                                                ;CONVENIOS REALIZADOS - FMHIS;0;323719.49;32649.35;32635.08;32692.24;32953.18;33145.24;33061.65;33465.4;33407.58;30997.59;28712.18
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS - FMS;43929;55694.25;5042.34;4097.22;5026.38;4938.35;5710.14;5017.75;6274.41;6350.34;6085.8;7151.52
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS - FMAS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012;0;6027.33;633.22;580.35;553.66;615.13;645.99;560.46;682.42;607.23;563.82;585.05
Prefeitura                                                                                                                                                                                                                                                ;IRRF - FOLHA DE PAGAMENTO - PODER EXECUTIVO;1187619854;936763898.7;80474070.42;94095671.64;87860880.84;92087846.24;99096119.96;95239102.53;96651838.8;93674205.65;96414097.01;101170065.6
Prefeitura                                                                                                                                                                                                                                                ;MULTAS E JUROS DE MORA - IMPOSTO PREDIAL;22036374;17162311.32;988148.73;1390974.4;1349689.25;1986509.37;1856781.85;1516198.22;2331001.36;1802729.12;1898161.58;2042117.44
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO PREDIAL;515657879;152022311.8;13176797.34;20798877.38;11135917.41;11293047.62;13034510.25;12508761.79;11094304.2;17936991.45;16639492.7;24403611.63
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DA RECEITA DA DIVIDA ATIVA DO IMPOSTO PREDIAL;-670192;-408717.37;-4567.87;0;-2402.75;-8124.13;-69689.92;-133537.1;-59611.84;-48702.97;-4841.29;-77239.5
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO SOBRE TRANSMISSAO INTER-VIVOS DE BENS IMOVEIS - DIVIDA ATIVA;11291462;2813507.94;127299.76;136250.41;138384.12;195175.17;359913.63;153359.82;127046.66;331005.26;511575.92;733497.19
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA;5563211185;4493486054;490712297.8;422647225.5;432338334.6;415486618.5;436572044.2;443945864.8;461447960.5;466251539.5;450334904.3;464403314.5
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - SEC;100000000;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO SOBRE VENDAS A VAREJO DE COMBUSTIVEIS LIQUIDOS E GASOSOS (IVVC) - DIVIDA ATIVA;34493;30372.08;3011.28;3020.12;3028.68;3037.23;3045.79;3054.35;3062.91;3071.46;3015.85;3024.41
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO SOBRE VENDAS A VAREJO DE COMBUSTIVEIS LIQUIDOS E GASOSOS (IVVC) - DIVIDA ATIVA - M;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE LICENC. E FISCAL. DE ESTABEL. DE COMERCIO VAREJISTA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE AUTORIZACAO DE FUNCIONAMENTO DE TRANSPORTE;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO PREDIAL;3321265295;2935162466;204238369.1;1179520012;194254251.3;197696410.1;197421984.7;199129063.5;193404328.5;190916003.4;187811516.6;190735896.8
Prefeitura                                                                                                                                                                                                                                                ;ITBI - MULTA E JUROS DE MORA;8363219;3757563.92;145016.91;171997.31;165400.2;316811.95;345735.64;154093.55;168684.92;435476.49;713589.41;1140757.54
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS TAXAS - MULTAS E JUROS DE MORA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS - FMH;19070;23626.31;2483.25;2267.29;2169.27;2409.04;2533.68;2199.67;2674.5;2381.88;2213.57;2294.16
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS - FMAD;5984;7619.72;800.51;733.67;699.94;777.65;816.65;708.54;862.71;767.66;712.78;739.61
Prefeitura                                                                                                                                                                                                                                                ;GESTAO DO SUS;50401;25032.04;3427.83;2572.7;2188.52;2431.28;2554.11;2216.28;2697.64;2400.92;2229.73;2313.03
Prefeitura                                                                                                                                                                                                                                                ;TRANSF. POR COND. EM ACOES OU PENAL. AO ESTAT.DA CRIANCA E DO ADOLESCENTE;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;FECMRJ;10802340;6526411.19;5730.27;5251.85;5010.36;1632236.93;5845.87;5071.93;2362233.73;5495.13;5102.29;2494432.83
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE OPERACOES DE CREDITO CONTRATUAIS REALIZADAS - ADMINISTRACAO DIRETA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE PEU DAS VARGENS;-41578;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;EXECUCAO DE VISTORIA - ADMINISTRACAO DIRETA;6036;5642.89;305.55;270.97;207.56;138.4;972.29;363.2;755.45;524.65;1257.25;847.57
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO DE RENDA RETIDO NA FONTE SOBRE OUTROS RENDIMENTOS;21747189;15954659.69;1155116.39;1510499.09;1941133.49;1851113.06;1887080.73;1353621.24;1777847.23;1517894.7;1508702.04;1234843.32
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DO IMPOSTO SOBRE TRANSMISSAO INTER-VIVOS DE BENS IMOVEIS - DIVIDA ATIVA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE FISCALIZACAO E VIGILANCIA SANITARIA - FMS - DIVIDA ATIVA;1538976;1999068.7;646201.23;115480.09;98887.79;114147.51;316142.2;121348.03;142881.32;114771.1;102284;226925.43
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE FISCALIZACAO DE TRANSPORTES DE PASSAGEIROS;11767851;11462306.53;553487;1112556.52;1283008.66;1215054.52;1293624.12;1097036.99;1217252.1;1236274.39;1077044.25;1376967.98
Prefeitura                                                                                                                                                                                                                                                ;ALUGUEIS RECEBIDOS - ADMINISTRACAO DIRETA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;ALUGUEIS E ARRENDAMENTOS - DIVIDA ATIVA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;ORDINARIOS NAO VINCULADOS - ADMINISTRACAO DIRETA;42053628;48456028.74;2930457.45;7612689.86;6854811.19;7563861.98;6409160.45;4334389.76;4185586.33;2962302.97;3002988.71;2599780.04
Prefeitura                                                                                                                                                                                                                                                ;LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES;460905;480534.59;51156.64;43276.25;47413.73;58326.47;62919.07;53645.45;56799.07;42336.44;32688.75;31972.72
Prefeitura                                                                                                                                                                                                                                                ;RECURSOS DO FOE/PGM - HONORARIOS ADVOCATICIOS;11331244;3111137.71;265808.12;271098.68;290697.8;341949.53;343120.18;285678.36;338554.27;309029.58;320788.61;344412.58
Prefeitura                                                                                                                                                                                                                                                ;RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES - FUNDET;0;21794.19;2289.64;2008.48;2001.99;2314.25;2335.83;2026.59;2467.55;2195.69;2038.71;2115.46
Prefeitura                                                                                                                                                                                                                                                ;ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO - ADMINISTRACAO DIRETA;0;36880.05;3650.98;3764.94;3215.52;3470.11;3888.85;3292.38;4384.45;3921.68;3342.69;3948.45
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA;166695644;86952839.23;3586345.97;3762996.8;3488653.91;4146757.07;3894746.57;3131457.95;6841158.89;4679664.43;5020889.1;48400168.54
Prefeitura                                                                                                                                                                                                                                                ;ISS - MULTA FORMAL OU PENAL;182159;87750.44;3761.46;2544.63;2268.15;2833.37;9291.13;4964.68;10020.88;12877.35;8112.31;31076.48
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE INSPECAO SANITARIA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE USO DE AREA PUBLICA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE TAXA DE INSPECAO SANITARIA;0;0;0;-184.33;-3289.26;3473.59;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE ARMAZENAMENTO DE VEICULO. CARROCINHA OU MERCADORIA APREENDIDA;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE USO DE AREA PUBLICA - MULTAS E JUROS DE MORA;23051;6811.46;131.59;2426.69;0;1056.8;56.01;160.63;29.02;241.57;2702.67;6.48
Prefeitura                                                                                                                                                                                                                                                ;CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA MUNICIPAL - VIA DARM;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;REMISSAO DE FOROS;2592000;2797611.04;257847.86;170351.7;178603.81;263455.79;250059.91;363672.23;161411.89;562287.62;291372.92;298547.31
Prefeitura                                                                                                                                                                                                                                                ;TARIFAS DE OCUPACAO DE CORTICOS REABILITADOS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;OUTORGA DE SERV. CEMITERIAIS E FUNERARIOS - CONCESSAO C. CIVIL;5450000;6150529.27;684770.17;1252564.26;450257.49;499701.17;565129.26;601725.83;1028791.33;295762.5;544319.87;227507.39
Prefeitura                                                                                                                                                                                                                                                ;IMPOSTO SOBRE VENDAS A VAREJO DE COMBUSTIVEIS LIQUIDOS E GASOSOS (IVVC) - DIVIDA ATIVA - M;12666;11105.96;1103.48;1106.28;1108.98;1111.69;1114.39;1117.09;1119.79;1122.5;1099.53;1102.23
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE COLETA DE LIXO E DE LIMPEZA PUBLICA - DIVIDA ATIVA;0;287249;0;1418.7;0;158379.27;103065.45;4311.04;13110.26;6154.99;809.29;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE FISCALIZACAO E VIGILANCIA SANITARIA - DIVIDA ATIVA;2857;2896.41;0;0;0;685.33;1114.68;0;0;0;0;1096.4
Prefeitura                                                                                                                                                                                                                                                ;RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS - DREM;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;MULTAS POR INFRACAO A LEGISLACAO DO MEIO-AMBIENTE;807645;589232.15;28637.71;23276.73;24952.24;29855.94;85425.13;73466.19;90026.1;80483.07;74463.71;78645.33
Prefeitura                                                                                                                                                                                                                                                ;COSIP;2727286;4139579.25;190031.14;237735.43;314334.1;404504.84;479714.88;444448.31;585217.67;523438.69;487534.17;472620.02
Prefeitura                                                                                                                                                                                                                                                ;TRANSFERENCIAS DO FNS - ATENCAO BASICA;2561970;154931.58;17358.56;15869.88;15168.62;16847.76;17417.25;13511.57;16434.2;14632.91;13595.75;14095.08
Prefeitura                                                                                                                                                                                                                                                ;FECMRJ - DECRETO LEGISLATIVO 1349/2018;0;16118.1;2712.01;1442.35;1376.03;1528.8;1605.49;1392.94;1696.02;1509.17;1401.27;1454.02
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DE CONVENIOS REALIZADOS - FMAS;0;0;0;0;0;0;0;0;0;0;0;0
