Descricao_Acao;Descricao_Elemento;Descricao_item_Despesa;Orcamento_Atualizado;Empenhado;Liquidado;Pago;Pago_Restos_Pagar
ATIVIDADES DO PROCON CARIOCA;LOCACAO DE MAO-DE-OBRA                                                                    ;LOCACAO DE MAO-DE-OBRA                                                                    ;0;0;0;0;0
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CIDAD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;1000;0;0;0;0
INFRAESTRUTURA E LOGISTICA CORPORATIVA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;195642.95;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;GENEROS ALIMENTICIOS. INCLUSIVE BEBIDAS - MERENDA                                         ;0;0;0;0;2511.13
PROMOCAO DE GUARDAS MUNICIPAIS  - EL 6037/19;OBRAS E INSTALACOES                                                                       ;OBRAS E INSTALACOES                                                                       ;0;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;GENEROS ALIMENTICIOS. INCLUSIVE BEBIDAS                                                   ;0;101145;74028.16;73332.16;73332.16
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CIDAD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;VALE-TRANSPORTE                                                                           ;0;8132;6308.5;5732;5732
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE DESEMPENHO FAZENDARIO                                                     ;0;420413.17;420413.17;376783.87;415777.27
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS DE TELEPROCESSAMENTO                                                             ;0;58181.59;43840.54;39069.2;43868.37
CAPACITACAO DO SERVIDOR - ADM. DIRETA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;TREINAMENTO EM INFORMATICA POR PESSOA JURIDICA                                            ;0;1162.49;0;0;0
SUBVENCAO SOCIAL A ASSOCIACAO BANDA ALEGRIA DO RECREIO - EL 2298/19;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE INFORMATICA                                                                   ;0;0;0;0;844.32
MEMORIA DA CIDADE DO RIO DE JANEIRO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;MAQUINAS E EQUIPAMENTOS DE INFORMATICA E TELECOMUNICACOES - LOCACAO                       ;0;0;0;0;600
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;82500;0;0;0;0
IMPLANTACAO DO VLT DO CENTRO;APORTE DE RECURSOS PELO PARCEIRO PUB EM FAVOR DO PARCEIRO PRIV DECORRENTE DE CONTRT DE PPP;APORTES DE RECURSOS DESTINADOS A OBRAS E AQUISICAO DE BENS. DECORRENTES DE CONTRATO DE PPP;0;2604013.85;2604013.85;2604013.85;5458674.73
CAPACITACAO DO SERVIDOR - ADM. DIRETA;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;6000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;REMUNERACAO DE FERIAS AOS FUNCIONARIOS ESTATUTARIOS                                       ;0;605763.12;605763.12;605763.12;520303.93
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;GRATIFICACAO DE ENCARGOS ESPECIAIS                                                        ;0;1100859.23;1100859.23;1100859.23;1333851
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;DIARIAS - CIVIL                                                                           ;DIARIAS - CIVIL                                                                           ;304000;0;0;0;0
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CIDAD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;VALE REFEICAO VALE ALIMENTACAO E FORNECIMENTO DE CAFE DA MANHA                            ;0;2361868;2103701.13;1911181.06;2075411.45
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TELEFONIA                                                                     ;0;167363.82;125181.66;111616.42;137897.35
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE DESEMPENHO ADMINISTRATIVO                                                 ;0;135735.77;135735.77;122058.89;134702.74
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;GRATIFICACAO DE ENCARGOS ESPECIAIS                                                        ;0;32347161.99;32347161.99;32347161.99;31484862.77
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;LOCACAO DE EQUIPAMENTOS COM OPERACAO E INSUMOS                                            ;0;1624410.71;1179182.88;1053231.43;1774805.13
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL                                            ;0;1165863.7;914235.61;703983.75;1069728.29
ASSISTENCIA E EDUCACAO PARA O CONSUMO;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;0;0;0;0;0
ASSISTENCIA E EDUCACAO PARA O CONSUMO;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;20000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS DE CARGO EFETIVO                                                              ;0;27088.35;27088.35;27088.35;15997.22
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO POR TRABALHO TECNICO OU CIENTIFICO                                           ;0;17560.83;17560.83;17560.83;12388.8
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE COPIAS. REPRODUCOES E RECARGAS                                                ;0;12650.04;0;0;4778.5
RECRUTAMENTO E SELECAO DE SERVIDORES;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;3969215.67;0;0;0;0
RECRUTAMENTO E SELECAO DE SERVIDORES;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;BENS IMOVEIS - LOCACAO DE PESSOA JURIDICA                                                 ;0;746275.76;720587.68;720587.68;720587.68
RECRUTAMENTO E SELECAO DE SERVIDORES;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;9024;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAL DE CONSUMO                                                                       ;221596.87;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAL PARA CONSERVACAO E MANUTENCAO DE BENS MOVEIS E IMOVEIS                           ;0;1085;1085;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE CORRESPONDENCIA                                                               ;0;36549.57;21293.72;21293.72;25686.12
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TRANSPORTE. FRETE E CARRETOS                                                  ;0;4107575.5;3310819.48;3124170.65;4092803.74
CAPACITACAO DO SERVIDOR - ADM. DIRETA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;76865.12;0;0;0;0
SUBVENCAO SOCIAL A ASSOCIACAO DAS BANDAS CARNAVALESCAS DO ESTADO DO RIO DE JANEIRO - ABCER;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO.ADPTACAO.CONSERV.RESTAUR.E INSTAL.DE BENS MOVEIS E IMOV.P/PESSOA JURIDICA ;0;4155918.68;2988485.42;2367017.38;2738003.86
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;LOCACAO DE EQUIPAMENTOS COM OPERACAO E INSUMOS                                            ;0;0;0;0;659
MEMORIA DA CIDADE DO RIO DE JANEIRO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;MAQUINAS E EQUIPAMENTOS. MOVEIS E UTENSILIOS - LOCACAO                                    ;0;0;0;0;975.64
MEMORIA DA CIDADE DO RIO DE JANEIRO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO. ADAPTACAO.CONSERV.RESTAURACAO E INSTALACAO DE SISTEMA DE REFRIGERACAO    ;0;0;0;0;61884
MEMORIA DA CIDADE DO RIO DE JANEIRO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO. ADAPTACAO. CONSERVACAO. RESTAURACAO E INSTALACAO DE ELEVADORES           ;0;0;0;0;1410
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS E UTENSILIOS EM GERAL PARA COPA.COZINHA.SALA.MESA.DORMITORIO.BANHO OUTRAS INSTAL;0;2184;2184;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;30000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;ANTECIPACAO DE REAJUSTE SALARIAL                                                          ;0;101.81;101.81;101.81;101.81
IMPLANTACAO DO VLT DO CENTRO;APORTE DE RECURSOS PELO PARCEIRO PUB EM FAVOR DO PARCEIRO PRIV DECORRENTE DE CONTRT DE PPP;APORTES DE RECURSOS DESTINADOS A OBRAS E AQUISICAO DE BENS. DECORRENTES DE CONTRATO DE PPP;0;926096.15;926096.15;926096.15;926096.15
CENTRAL UNICA DE ATENDIMENTO - 1746;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;27000;0;0;0;0
APOIO A EVENTOS E PROJETOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS PARA FINS EDUCATIVOS. CULTURAIS E SOCIAIS. INCLUSIVE DIVULGACAO                  ;0;586706;156706;0;630000
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;PASSAGENS E DESPESAS COM LOCOMOCAO                                                        ;PASSAGENS E DESPESAS COM LOCOMOCAO                                                        ;786304.08;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;PASSAGENS E DESPESAS COM LOCOMOCAO                                                        ;PASSAGENS                                                                                 ;0;786304.08;605325.05;574323.3;678460
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE EXECUCAO TECNICA                                                          ;0;985270.3;985270.3;888251.8;971806.23
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;1682920.41;0;0;0;0
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE LUZ E FORCA MOTRIZ                                                            ;0;0;0;0;932129.09
PARTICIPACAO NO CAPITAL DA COMPANHIA DE DESENVOLVIMENTO URBANO DA REGIAO DO PORTO DO RIO D;CONSTITUICAO OU AUMENTO DE CAPITAL DE EMPRESAS                                            ;CONSTITUICAO OU AUMENTO DE CAPITAL DE EMPRESAS                                            ;7500000;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS DE VESTUARIO.UNIFORMES.FARDAMENTOS. TECIDOS E AVIAMENTOS                        ;0;3231;1584;1584;1584
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;3000;0;0;0;0
ASSISTENCIA E EDUCACAO PARA O CONSUMO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;LOCACAO DE VEICULOS DE REPRESENTACAO E OPERACIONAL                                        ;0;91116.12;58686.12;52658.21;58816.26
ATIVIDADES DO PROCON CARIOCA;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL                                            ;0;719141.75;492625.18;437345.25;462790.63
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;AUXILIO-TRANSPORTE                                                                        ;AUXILIO-TRANSPORTE                                                                        ;1000;0;0;0;0
IMPLANTACAO DO VLT DO CENTRO;APORTE DE RECURSOS PELO PARCEIRO PUB EM FAVOR DO PARCEIRO PRIV DECORRENTE DE CONTRT DE PPP;APORTES DE RECURSOS DESTINADOS A OBRAS E AQUISICAO DE BENS. DECORRENTES DE CONTRATO DE PPP;0;0;0;0;1269046.21
INFRAESTRUTURA E LOGISTICA CORPORATIVA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;LOCACAO DE VEICULOS DE REPRESENTACAO E OPERACIONAL                                        ;0;53321.8;34691.14;34691.14;40393.18
CENTRAL UNICA DE ATENDIMENTO - 1746;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TELEATENDIMENTO                                                               ;0;12666092.91;9960524.66;8991214.29;11735153.82
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;TICKET COMBUSTIVEL                                                                        ;0;201897.36;120189.93;82205.75;85765.29
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS GRAFICOS EM GERAL POR PESSOA JURIDICA                                            ;0;48235.5;28569.8;28449.8;36856.8
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE LUZ E FORCA MOTRIZ                                                            ;0;0;0;0;61509.74
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;ADICIONAL POR TEMPO DE SERVICO                                                            ;0;4224315.71;4224315.71;3802930.61;4197805.07
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE DATILOGRAFO                                                               ;0;47950.44;47950.44;47950.44;46371.94
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE FUNCAO ORCAMENTARIA                                                       ;0;279055.92;279055.92;279055.92;272723.61
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;AUXILIO-TRANSPORTE                                                                        ;AUXILIO-TRANSPORTE                                                                        ;150000;0;0;0;0
AMPLIACAO DO SERVICO DE REABILITACAO PARA PESSOA COM DEFICIENCIA E IDOSOS - EL 6017/19;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
SUBVENCAO SOCIAL AO HOSPITAL FUNDACAO DO CANCER - EL 3482/19;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;MATERIAL DE CONSUMO                                                                       ;MATERIAL DE CONSUMO                                                                       ;2108.94;0;0;0;0
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE BRIGADA DE INCENDIO                                                           ;0;2149516.25;1608521.15;1267694.24;1605857.84
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;7345845.02;0;0;0;0
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE AGUA E ESGOTO                                                                 ;0;0;0;0;143687.64
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;2447685;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS MIUDAS DE PRONTO PAGAMENTO E/OU DE CARATER EXTRAORDINARIO OU URGENTE             ;0;130357.54;130357.54;130357.54;130357.54
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;CONTRIBUICOES A ASSOCIACOES E OUTRAS ENTIDADES DE CLASSE                                  ;0;159579;159579;159579;159579
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;JUROS E MULTAS                                                                            ;0;0;0;0;7385.25
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;94148.54;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA SUPERIOR (DAS)                              ;0;18986044.93;18986044.93;18986044.93;18543414.76
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE PARTICIPACAO EM ORGAO DE DELIBERACAO COLETIVA                             ;0;16479.67;16479.67;16479.67;14335.85
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;REMUNERACAO POR SUBSTITUICAO                                                              ;0;128660.47;128660.47;128660.47;121585.42
ESTRUTURANDO O RIO MAIS RESPEITO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;1000;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - GOVERNANCA PARA O;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE LUZ E FORCA MOTRIZ                                                            ;0;12362436;8988462.2;8988462.2;8988462.2
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
ASSISTENCIA E EDUCACAO PARA O CONSUMO;PASSAGENS E DESPESAS COM LOCOMOCAO                                                        ;PASSAGENS                                                                                 ;0;47835.33;23768.29;23768.29;23768.29
ASSISTENCIA E EDUCACAO PARA O CONSUMO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;250000;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;LOCACAO DE MAO-DE-OBRA                                                                    ;LOCACAO DE MAO-DE-OBRA                                                                    ;0;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - GOVERNANCA PARA O;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE LUZ E FORCA MOTRIZ                                                            ;0;645970;459199.55;416495.34;416495.34
CENTRAL UNICA DE ATENDIMENTO - 1746;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;MAQUINAS E EQUIPAMENTOS DE INFORMATICA E TELEPROCESSAMENTO                                ;0;27000;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA ESCRITORIO E EXPEDIENTE                                                    ;0;23827.5;23827.5;20427.5;20427.5
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;6582486.82;0;0;0;0
